g_veg,asp_cir,bare,dstrb_cir,slp_pos,slp_deg_cir
20,SW,30,15,1,16
37,NE,5,12,1,12
0,S,0,1,-1,5
0,SW,7,1,0,8
3,S,4,30,0,13
15,W,15,1,0,13
5,NW,2,5,0,10
16,NW,8,20,0,5
5,SW,20,20,0,7
0,SE,5,2,1,12
100,NW,20,22,1,5
30,NW,8,10,1,25
0,SE,5,7,0,15
8,NE,21,30,0,10
20,NE,10,10,1,10
16,SW,10,25,0,16
10,SW,40,35,0,15
50,S,6,3,0,10
0,W,2,2,0,10
0,S,0,0,0,16
0,W,15,3,1,10
0,NW,5,5,0,15
0,N,5,2,1,7
0,SE,2,5,0,7
0,E,4,4,1,16
34,NW,1,25,0,14
0,N,10,8,0,17
0,N,6,8,1,25
0,SE,2,1,-1,25
0,SW,40,2,0,25
0,SW,5,1,0,15
0,E,1,3,-1,22
